"entidad_organo_nombre";"entidad_organo_jerarquia";"entidad_organo_nif";"direccion";"direccion_codigo_postal";"direccion_poblacion";"teléfono";"email"
"Consejería de Empleo, Políticas Sociales y Vivienda del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Empleo, Políticas Sociales y Vivienda";"S3511001D";"Leoncio Rodriguez, 3";"38003";"Santa Cruz de Tenerife";"_U";"ebarros@gobiernodecanarias.org"
"Consejería de Hacienda de la Comunidad Autónoma de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Tomás Miller, 38";"35007";"Las Palmas de Gran Canaria";"928578100";"contsgt.chac@gobiernodecanarias.org"
"Consejería de Obras Públicas, Transportes y Vivienda del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Profesor Agustín Millares Carló, 22";"35071";"Las Palmas de Gran Canaria";"922924916";"serviciocontratacion.obraspublicas@gobiernodecanarias.org"
"Consejería de Obras Públicas y Transportes del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Profesor Agustín Millares Carló nº 22";"35071";"Las Palmas de Gran Canaria";"922924916";"srvconadm.copt@gobiernodecanarias.org"
"Consejería de Presidencia, Justicia e Igualdad del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Presidencia, Justicia e Igualdad";"S3511001D";"Avda. José Manuel Guimerá, 10";"38071";"Santa Cruz de Tenerife";"_U";"mgasrod@gobiernodecanarias.org"
"Consejería de Sanidad del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad";"S3511001D";"Avda Juan XXIII 17 - 6ª planta";"35007";"Las Palmas de Gran Canaria";"_U";"contratacion.sanidad@gobiernodecanarias.org"
"Consejería de Transición Ecológica, Lucha contra el Cambio Climático y Planificación Territorial del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. Francisco La Roche, 35 - pl. 5ª";"38071";"Santa Cruz de Tenerife";"_U";"jvalalol@gobiernodecanarias.org"
"Consejería de Turismo, Cultura y Deportes";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"A05017144";"Avenida Francisco La Roche, 35  Edif. Servicios Múltiples 1, Planta 2";"38071";"Santa Cruz de Tenerife";"922924634";"sgommol@gobiernodecanarias.org"
"Consejería de Turismo, Industria y Comercio";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Edif. Usos Múltiples III. León y Castillo, 200 - 6ª pl.";"35071";"Las Palmas de Gran Canaria";"928455770";"mgutvic@gobiernodecanarias.org"
"Dirección de Área de Salud de El Hierro";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"Correos, 2";"38900";"Valverde";"922474063";"tmarlop@gobiernodecanarias.org"
"Dirección de Área de Salud de Fuerteventura";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"Calle Presidente Juan Negrín, esquina con calle Presidente Santiago Hormiga, s/n";"35600";"Puerto del Rosario";"928111255";"contrataciondafue.scs@gobiernodecanarias.org"
"Dirección de Área de Salud de Gran Canaria";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"León y Castillo, 224";"35004";"Las Palmas de Gran Canaria";"928296796";"contratacion.dasgc.scs@gobiernodecanarias.org"
"Dirección de Área de Salud de la Gomera";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"Avda. José Aguiar, s/n";"38800";"San Sebastián de La Gomera";"822171251";"sartdar@gobiernodecanarias.org"
"Dirección de la Agencia Canaria de Calidad Universitaria y Evaluación Educativa (ACCUEE)";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"Q3800427A";"Avenida Buenos Aires, nº 5. Edificio Tres de Mayo, 3ª planta";"38071";"Santa Cruz de Tenerife";"922423580";"accuee@gobiernodecanarias.org"
"Dirección de la Agencia Canaria de Protección del Medio Natural";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Transición Ecológica, Lucha contra el Cambio Climático y Planificación Territorial";"Q3500326H";"c/ José Franchy Roca, 12-14";"35007";"Las Palmas de Gran Canaria";"_U";"vsanmar@gobiernodecanarias.org"
"Dirección de la Agencia Tributaria Canaria";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Hacienda, Presupuestos y Asuntos Europeos> Agencia Tributaria Canaria";"Q3500461C";"C/ Prof. Agustín Millares Carló, 22, 5ª planta";"35071";"Las Palmas de Gran Canaria";"928118031";"contratacion.atc@gobiernodecanarias.org"
"Dirección del Área de Salud de La Palma";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"Q8555011I";"Hermenegildo Rodríguez Méndez, 1";"38700";"Santa Cruz de La Palma";"822171120";"mmormarc@gobiernodecanarias.org"
"Dirección del Área de Salud de Tenerife";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud> Dirección Area de Salud de Tenerife";"Q8555011I";"c/ Méndez Núñez, 14";"38003";"Santa Cruz e Tenerife";"_U";"contrataciondast@gobiernodecanarias.org"
"Dirección del Área de Salud en Lanzarote";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"Calle Pérez Galdós, s/n";"35500";"Arrecife";"_U";"privper@gobiernodecanarias.org"
"Dirección del Instituto Canario de Administración Pública";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Administraciones Públicas, Justicia y Seguridad> Instituto Canario de Administración Pública";"Q8850001B";"José de Zarate y Penichet, 4";"38071";"Santa Cruz de Tenerife";"_U";"cursos.icap@gobiernodecanarias.org"
"Dirección del Instituto Canario de Calidad Agroalimentaria";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Agricultura, Ganadería, Pesca y Aguas> Instituto Canario de Calidad Agroalimentaria";"Q3800459D";"Avda. Buenos Aires, 5 Edif. Tres de Mayo 5º";"38071";"Santa Cruz de Tenerife";"_U";"aexpper@gobiernodecanarias.org"
"Dirección del Servicio Canario de Salud";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"Avda. Juan XXIII, 17";"35004";"Las Palmas de Gran Canaria";"_U";"contratodir.scs@gobiernodecanarias.org"
"Dirección General de Agricultura de la Consejería de Agricultura Ganaderia, Pesca y Aguas";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Agricultura, Ganadería, Pesca y Aguas> Dirección General de Agricultura";"S3511001D";"Avda. José Manuel Guimerá, 10";"38071";"Santa Cruz de Tenerife";"_U";"Contratacion.agricultura@gobiernodecanarias.org"
"Dirección General de Aguas";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Agricultura, Ganadería, Pesca y Aguas> Dirección General de Aguas";"S3511001D";"Avda. Francisco Laroche, 35";"38071";"Santa Cruz de Tenerife";"822171995";"irhersan@gobiernodecanarias.org"
"Dirección General de Asuntos Económicos con Africa del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. José Manuel Guimerá 10";"38071";"Santa Cruz de Tenerife";"922951376";"rreytor@gobiernodecanarias.org"
"Dirección General de Asuntos Económicos con la Unión Europea del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Administraciones Públicas, Justicia y Seguridad> Viceconsejería de Administraciones Públicas y Transparencia> Dirección General de Telecomunicaciones y Nuevas Tecnologías";"S3511001D";"c/ Tomás Miller, 38 - 4ª planta";"35071";"Las Palmas de Gran Canaria";"_U";"dgeuropa@gobiernodecanarias.org"
"Dirección General de Centros e Infraestructura Educativa";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. Buenos Aires, 4";"38071";"Santa Cruz de Tenerife";"_U";"contrata.dgc.ceu@gobiernodecanarias.org"
"Dirección General de Centros, Infraestructura y Promoción Educativa";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. de Buenos Aires, 4";"38071";"Santa Cruz de Tenerife";"_U";"contratadgc.ceu@gobiernodecanarias.org"
"Dirección General de Comercio y Consumo del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"León y Castillo, 200";"35071";"Las Palmas de Gran Canaria";"_U";"dmilpom@gobiernodecanarias.org"
"Dirección General de Comunicación";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Plaza Dr. Rafael O'Shanahan, 1";"35071";"Las Palmas de Gran Canaria";"_U";"malcdiac@gobiernodecanarias.org"
"Dirección General de Coordinación y Apoyo Técnico a la Vicepresidencia";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Presidencia del Gobierno> Vicepresidencia del Gobierno> Dirección General de Coordinación y Apoyo Técnico a la Vicepresidencia";"S3511001D";"Plaza Dr. Rafael O'Shanahan";"35071";"Las Palmas de Gran Canaria";"_U";"malcdiac@gobiernodecanarias.org"
"Dirección General de Dependencia y Discapacidad";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. Juan XXIII Clínica El Pino";"35006";"Las Palmas de Gran Canaria";"928117671";"cheralvm@gobiernodecanarias.org"
"Dirección General de Dependencia y Discapacidad del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Empleo, Políticas Sociales y Vivienda> Viceconsejería de Políticas Sociales y Vivienda > Dirección General de Dependencia y Discapacidad";"S3511001D";"Avda. Benito Pérez Armas, nº 4";"38007";"Santa Cruz de Tenerife";"928117675";"aherigl@gobiernodecanarias.org"
"Dirección General de Deportes";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Murga, 52-54 - 2ª planta";"35071";"Las Palmas de Gran Canaria";"928117936";"dgilfer@gobiernodecanarias.org"
"Dirección General de Derechos Sociales e Inmigración";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Carlos JR. Hamilton, 14 Edif. Mabell";"38071";"Santa Cruz de Tenerife";"922922500";"jherdiak@gobiernodecanarias.org"
"Dirección General de Diversidad";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"San Sebastián, 53 - edif. Principe Felipe pl. 3ª";"38071";"Santa Cruz de Tenerife";"922951286";"ebarros@gobiernodecanarias.org"
"Dirección General de Emigración";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"ES3511001";"Plaza de San Telmo nº 1";"38071";"Santa Cruz de Tenerife";"_U";"aplamed@gobiernodecanarias.org"
"Dirección General de Formación Profesional y Educación de Adultos";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. Buenos Aires, 5";"38071";"Santa Cruz de Tenerife";"_U";"contratacion-dgfpea.educacion@gobiernodecanarias.org"
"Dirección General de Ganadería";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. José Manuel Guimerá, 10 - Edif. Servicios Múltiples II, Planta 3ª";"38071";"Santa Cruz de Tenerife";"_U";"Contratacion.agricultura@gobiernodecanarias.org"
"Dirección General de Industria";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"León y Castillo, 200 - 2ª pl. Edif. Usos Múltiples III";"35071";"Las Palmas de Gran Canaria";"_U";"msanrod1@gobiernodecanarias.org"
"Dirección General de Infraestructura Turística";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Calle León y Castillo 200, Ed Usos Múltiples III planta 6";"35071";"Las Palmas de Gran Canaria";"_U";"mmigred@gobiernodecanarias.org"
"Dirección General de Infraestructura Viaria del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Obras Públicas, Transportes y Vivienda> Viceconsejería de Infraestructuras y Transportes";"S3511001D";"Plaza de los Derechos Humanos, 22";"35071";"Las Palmas de Gran Canaria";"_U";"serviciocontratacion.obraspublicas@gobiernodecanarias.org"
"Dirección General de Investigación y Coordinación del Desarrollo Sostenible";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Plaza Doctor Rafael O'Shanahan";"35071";"Las Palmas de Gran Canaria";"_U";"malcdiac@gobiernodecanarias.org"
"Dirección General de Juventud";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"San Sebastián, 53 - edif. Principe Felipe pl. 3ª";"38071";"Santa Cruz de Tenerife";"922951286";"ebarros@gobiernodecanarias.org"
"Dirección General de Juventud del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Presidencia, Justicia e Igualdad> Dirección General de Juventud";"S3511001D";"Wenceslao Yanes, 17";"38202";"San Cristobal de la Laguna";"_U";"aeirsan@gobiernodecanarias.org"
"Dirección General de la Función Pública del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Administraciones Públicas, Justicia y Seguridad> Viceconsejería de Administraciones Públicas y Transparencia> Dirección General de la Función Pública";"S3511001D";"Avda. de Buenos Aires 5A - Edificio Tres de Mayo";"38071";"Santa Cruz de Tenerife";"922174497";"funcionpublica@gobiernodecanarias.org"
"Dirección General de Lucha contra el Cambio Climático y Medio Ambiente de la Consejería de Transición Ecológica, Lucha contra el Cambio Climático y Planificación Territorial del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. Francisco La Roche, 35 - pl. 11ª";"38071";"Santa Cruz de Tenerife";"_U";"jferherm@gobiernodecanarias.org"
"Dirección General de Modernización y Calidad de los Servicios";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. Buenos Aires, 5, Edificio Tres de Mayo Planta 5ª";"38071";"Santa Cruz de Tenerife";"_U";"cpadbar@gobiernodecanarias.org"
"Dirección General de Ordenación del Territorio de la Consejería de Política Territorial, Sostenibilidad y Seguridad del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Política Territorial, Sostenibilidad y Seguridad";"S3511001D";"Avenida Francisco La Roche, 35 -  planta 6ª";"38071";"Santa Cruz de Tenerife";"_U";"pafopads@gobiernodecanarias.org"
"Dirección General de Ordenación, Innovación y Calidad";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. Buenos Aires n.º 5. Edf. Tres de Mayo. Planta 4ª";"38071";"Santa Cruz de Tenerife";"922423500";"dgoic.educacion@gobiernodecanarias.org"
"Dirección General de Ordenación y Promoción Turística";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"León y Castillo, 200";"35004";"Las Palmas de Gran Canaria";"_U";"ggarcan@gobiernodecanarias.org"
"Dirección General de Patrimonio Cultural del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Murga, 52-54 - 2ª planta";"35071";"Las Palmas de Gran Canaria";"928118158";"mperbete@gobiernodecanarias.org"
"Dirección General de Patrimonio y Contratación";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Hacienda, Presupuestos y Asuntos Europeos> Dirección General de Patrimonio y Contratación";"S3511001D";"Profesor Agustín Millares Carló, 22 - 6ª planta";"35003";"Las Palmas de Gran Canaria";"_U";"contratos.contratacion@gobiernodecanarias.org"
"Dirección General de Personal";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Educación, Universidades, Cultura y Deportes";"S3511001D";"Granadera Canaria, 2 - 4ª planta";"35071";"Las Palmas de Gran Canaria";"_U";"sypdocente.educacion@gobiernodecanarias.org"
"Dirección General de Pesca";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. Francisco Laroche, 35 - Edif. Servicios múltiples I, Planta 11";"38071";"Santa Cruz de Tenerife";"_U";"Contratacion.agricultura@gobiernodecanarias.org"
"Dirección General de Políticas Sociales e Inmigración";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Carlos J.R. Hamilton, 14 - Edif. Mabell";"38071";"Santa Cruz de Tenerife";"922922500";"contrata.dgpsi@gobiernodecanarias.org"
"Dirección General de Programas Asistenciales";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"Plaza Dr. Juan Bosch Millares, 1 - 4ª pl.";"35004";"Las Palmas de Gran Canaria";"_U";"dtordia@gobiernodecanarias.org"
"Dirección General de Promoción Cultural del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"calle Murga, 52-54 2ª planta";"35071";"Las Palmas de Gran Canaria";"_U";"aherrodb@gobiernodecanarias.org"
"Dirección General de Promoción Económica del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Economía, Industria, Comercio y Conocimiento> Dirección General de Promoción Económica";"S3511001D";"Tomás Miller, 38 -2";"35007";"Las Palmas de Gran Canaria";"928578168";"promocioneconomica@gobiernodecanarias.org"
"Dirección General de Protección a la Infancia y la Familia";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"San Sebastián, 53 - edif. Principe Felipe pl. 3ª";"35071";"Santa Cruz de Tenerife";"922951286";"ebarros@gobiernodecanarias.org"
"Dirección General de Protección a la Infancia y la Familia del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"San sebastián, 53 - Edificio Principe Felipe";"38071";"Santa Cruz de Tenerife";"_U";"jaforav@gobiernodecanarias.org"
"Dirección General de Recursos Económicos del Servicio Canario de la Salud";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"Juan XXIII, 17 -3 ª Planta";"35004";"Las Palmas de Gran Canaria";"922951805";"cdgrree.scs@gobiernodecanarias.org"
"Dirección General de Relaciones con la Administración de Justicia";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Administraciones Públicas, Justicia y Seguridad";"S3511001D";"Avda. José Manuel Guimerá, 10";"38071";"Santa Cruz de Tenerife";"928117943";"gmengom@gobiernodecanarias.org"
"Dirección General de Relaciones Exteriores";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"ES3511001";"Plaza de San Telmo, 1";"38071";"Santa Cruz de Tenerife";"_U";"phercabd@gobiernodecanarias.org"
"Dirección General de Salud Pública del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud> Dirección General de Salud Pública";"Q8555011I";"Rambla de Santa Cruz, 53";"38006";"Santa Cruz de Tenerife";"_U";"dgsaludpub@gobiernodecanarias.org"
"Dirección General de Seguridad y Emergencias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Administraciones Públicas, Justicia y Seguridad";"S3511001D";"León y Castillo, 57 - 3ª pl.";"35071";"Las Palmas de Gran Canarias";"_U";"lmatfau@gobiernodecanarias.org"
"Dirección General de Seguridad y Emergencias del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Política Territorial, Sostenibilidad y Seguridad > Viceconsejería de Medio Ambiente> Dirección General de Seguridad y Emergencias";"S3511001D";"León y Castillo, 57";"35071";"Las Palmas de Gran Canaria";"_U";"regdgse.cptss@gobiernodecanarias.org"
"Dirección General de Telecomunicaciones y Nuevas Tecnologías";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Administraciones Públicas, Justicia y Seguridad";"S3511001D";"Rubén Marichal López, 12 - La Ninfa, Ifara";"38071";"Santa Cruz de Tenerife";"_U";"contratacion.tic@gobiernodecanarias.org"
"Dirección General de Telecomunicaciones y Nuevas Tecnologías de la Comunidad Autónoma de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Administraciones Públicas, Justicia y Seguridad> Viceconsejería de Administraciones Públicas y Transparencia> Dirección General de Telecomunicaciones y Nuevas Tecnologías";"S3811001D";"Rubens Marichal López, 12";"38071";"Santa Cruz de Tenerife";"_U";"pcontdgtnt.cpji@gobiernodecanarias.org"
"Dirección General de Trabajo de la Comunidad Autonóma de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Economía, Conocimiento y Empleo> Viceconsejería de Empleo> Dirección General de Trabajo";"S3511001D";"Ramón y Cajal, nº 3 - Semisótano 1 - local 5";"38003";"Santa Cruz de Tenerife";"928455849";"jtrumath@gobiernodecanarias.org"
"Dirección General de Transparencia y Participación Ciudadana";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. José Manuel Guimerá, 10 - Edif. Servicios Múltiples II";"38071";"Santa Cruz de Tenerife";"_U";"transparencia@gobiernodecanarias.org"
"Dirección General de Transportes";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Profesor Agustín Millares Carló, 22 Edificio de Servicios Múltiples I - pl. 11ª";"35071";"Las Palmas de Gran Canaria";"922924916";"serviciocontratacion.obraspublicas@gobiernodecanarias.org"
"Dirección General del Gabinete de la Vicepresidencia";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Plaza Dr. Rafael O'Shanahan, 1";"35071";"Las Palmas de Gran Canaria";"_U";"malcdiac@gobiernodecanarias.org"
"Dirección General del Gabinete del Presidente";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. José Manuel Guimerá, 1";"38071";"Santa Cruz de Tenerife";"922923838";"cherper@gobiernodecanarias.org"
"Dirección Gerencia del Complejo Hospitalario Universitario de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"Ofra s/n La Cuesta";"38320";"Santa Cruz de Tenerife";"922678082";"contadmhuc.scs@gobiernodecanarias.org"
